reporter_iso3,year,partner_code,partner_iso3,partner_name,partner_is_group,partner_group_type,hs4_code,applied_tariff,applied_lines,mapping_missing_share.x,mfn_tariff,mfn_lines,mapping_missing_share.y,preferential_margin,is_preferential,negative_margin,hs_level,source
BRA,2008,032,ARG,Argentina,No,N/A,0102,0,3,0,1.0000000000000002,5,0,1.0000000000000002,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0103,0,2,0,1.3333333333333333,3,0,1.3333333333333333,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0104,0,2,0,0.833333343267441,2,0,0.833333343267441,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0105,0,6,0,2.3333333333333335,6,0,2.3333333333333335,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0201,0,3,0,10.666666666666666,3,0,10.666666666666666,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0202,0,3,0,10.666666666666666,3,0,10.666666666666666,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0203,0,6,0,10,6,0,10,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0204,0,9,0,10,9,0,10,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0205,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0206,0,9,0,10,9,0,10,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0208,0,6,0,10.000000000000002,6,0,10.000000000000002,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0209,0,2,0,6,2,0,6,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0210,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0301,0,8,0,6.000000000000002,8,0,6.000000000000002,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0302,0,41,0,9.523809523809529,42,0,9.523809523809529,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0303,0,37,0,10.000000000000004,37,0,10.000000000000004,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0305,0,18,0,7.638888875643413,20,0,7.638888875643413,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0306,0,14,0,10,14,0,10,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0307,0,17,0,10.000000000000004,17,0,10.000000000000004,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0308,0,6,0,10.000000000000002,6,0,10.000000000000002,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0401,0,4,0,12.888888994852701,4,0,12.888888994852701,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0402,0,5,0,22.93333358764648,5,0,22.93333358764648,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0403,0,2,0,16,2,0,16,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0404,0,2,0,20.5,2,0,20.5,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0406,0,4,0,18.2,5,0,18.2,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0407,0,5,0,2.66666674613953,5,0,2.66666674613953,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0408,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0409,0,1,0,16,1,0,16,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0410,0,1,0,14,1,0,14,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0501,0,1,0,8,1,0,8,1,0,HS4,WITS/TRAINS
BRA,2008,032,ARG,Argentina,No,N/A,0502,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
