reporter_iso3,year,partner_code,partner_iso3,partner_name,partner_is_group,partner_group_type,hs4_code,applied_tariff,applied_lines,mapping_missing_share.x,mfn_tariff,mfn_lines,mapping_missing_share.y,preferential_margin,is_preferential,negative_margin,hs_level,source
BRA,2015,032,ARG,Argentina,No,N/A,0103,0,2,0,1.3333333333333333,3,0,1.3333333333333333,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0104,0,2,0,0.833333343267441,2,0,0.833333343267441,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0105,0,2,0,2.5,2,0,2.5,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0201,0,3,0,10.666666666666666,3,0,10.666666666666666,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0202,0,3,0,10.666666666666666,3,0,10.666666666666666,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0203,0,6,0,10,6,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0204,0,9,0,10,9,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0205,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0206,0,9,0,10,9,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0207,0,5,0,9.999999999999998,5,0,9.999999999999998,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0208,0,6,0,10.000000000000002,6,0,10.000000000000002,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0210,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0301,0,6,0,5.000000000000001,6,0,5.000000000000001,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0302,0,14,0,10,14,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0303,0,13,0,10,13,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0305,0,15,0,7.4242424097928135,17,0,7.4242424097928135,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0306,0,10,0,10,10,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0307,0,15,0,10.000000000000004,15,0,10.000000000000004,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0308,0,6,0,10.000000000000002,6,0,10.000000000000002,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0401,0,2,0,13,2,0,13,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0402,0,5,0,23.6,5,0,23.6,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0403,0,2,0,16,2,0,16,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0404,0,2,0,21,2,0,21,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0406,0,4,0,18.4,5,0,18.4,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0408,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0409,0,1,0,16,1,0,16,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0410,0,1,0,14,1,0,14,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0501,0,1,0,8,1,0,8,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0502,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0504,0,1,0,7.19999980926514,1,0,7.19999980926514,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0505,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0506,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0507,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0508,0,1,0,8,1,0,8,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0510,0,1,0,1,1,0,1,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0511,0,2,0,2.400000015894573,3,0,2.400000015894573,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0602,0,4,0,2,4,0,2,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0603,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0701,0,1,0,5,2,0,5,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0702,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0703,0,3,0,9.166666666666666,3,0,9.166666666666666,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0704,0,3,0,10,3,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0705,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0706,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0707,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0708,0,3,0,10,3,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0709,0,7,0,10,7,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0710,0,8,0,10,8,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0711,0,5,0,9.999999999999998,5,0,9.999999999999998,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0712,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0713,0,12,0,5,12,0,5,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0714,0,6,0,10,6,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0802,0,11,0,8.857142857142856,11,0,8.857142857142856,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0804,0,5,0,10,5,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0805,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0806,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0807,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0808,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0809,0,3,0,10,3,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0810,0,8,0,10,8,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0811,0,3,0,10,3,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0812,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0813,0,5,0,10,5,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0814,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0901,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0902,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0903,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0904,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0906,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,0910,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,1005,0,1,0,4,2,0,4,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,1006,0,4,0,9.416666626930237,4,0,9.416666626930237,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,1008,0,6,0,4,6,0,4,1,0,HS4,WITS/TRAINS
BRA,2015,032,ARG,Argentina,No,N/A,1101,0,1,0,12,1,0,12,1,0,HS4,WITS/TRAINS
