reporter_iso3,year,hs4_code,mfn_tariff,mfn_lines,mapping_missing_share
BRA,2015,0102,0,3,0
BRA,2015,0103,1.3333333333333333,3,0
BRA,2015,0104,0.833333343267441,2,0
BRA,2015,0105,2.5,2,0
BRA,2015,0201,10.666666666666666,3,0
BRA,2015,0202,10.666666666666666,3,0
BRA,2015,0203,10,6,0
BRA,2015,0204,10,9,0
BRA,2015,0205,10,1,0
BRA,2015,0206,10,9,0
BRA,2015,0207,9.999999999999998,5,0
BRA,2015,0208,10.000000000000002,6,0
BRA,2015,0210,10,4,0
BRA,2015,0301,5.000000000000001,6,0
BRA,2015,0302,10,14,0
BRA,2015,0303,10,13,0
BRA,2015,0305,7.4242424097928135,17,0
BRA,2015,0306,10,10,0
BRA,2015,0307,10.000000000000004,15,0
BRA,2015,0308,10.000000000000002,6,0
BRA,2015,0401,13,2,0
BRA,2015,0402,23.6,5,0
BRA,2015,0403,16,2,0
BRA,2015,0404,21,2,0
BRA,2015,0406,18.4,5,0
BRA,2015,0408,10,4,0
BRA,2015,0409,16,1,0
BRA,2015,0410,14,1,0
BRA,2015,0501,8,1,0
BRA,2015,0502,8,2,0
BRA,2015,0504,7.19999980926514,1,0
BRA,2015,0505,8,2,0
BRA,2015,0506,8,2,0
BRA,2015,0507,8,2,0
BRA,2015,0508,8,1,0
BRA,2015,0510,1,1,0
BRA,2015,0511,2.400000015894573,3,0
BRA,2015,0601,0,2,0
BRA,2015,0602,2,4,0
BRA,2015,0603,10,1,0
BRA,2015,0701,5,2,0
BRA,2015,0702,10,1,0
BRA,2015,0703,9.166666666666666,3,0
BRA,2015,0704,10,3,0
BRA,2015,0705,10,4,0
BRA,2015,0706,10,2,0
BRA,2015,0707,10,1,0
BRA,2015,0708,10,3,0
BRA,2015,0709,10,7,0
BRA,2015,0710,10,8,0
BRA,2015,0711,9.999999999999998,5,0
BRA,2015,0712,10,2,0
BRA,2015,0713,5,12,0
BRA,2015,0714,10,6,0
BRA,2015,0802,8.857142857142856,11,0
BRA,2015,0804,10,5,0
BRA,2015,0805,10,4,0
BRA,2015,0806,10,2,0
BRA,2015,0807,10,1,0
BRA,2015,0808,10,1,0
BRA,2015,0809,10,3,0
BRA,2015,0810,10,8,0
BRA,2015,0811,10,3,0
BRA,2015,0812,10,2,0
BRA,2015,0813,10,5,0
BRA,2015,0814,10,1,0
BRA,2015,0901,10,4,0
BRA,2015,0902,10,4,0
BRA,2015,0903,10,1,0
